"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)"
"2021";"Werkendam";;
"2022";"Werkendam";;
"2023";"Werkendam";;
"2020";"Wervershoof";;
"2021";"Wervershoof";;
"2022";"Wervershoof";;
"2023";"Wervershoof";;
"2020";"West Betuwe";51128;237
"2021";"West Betuwe";51496;238
"2022";"West Betuwe";51971;241
"2023";"West Betuwe";52720;244
"2020";"West Maas en Waal";19324;252
"2021";"West Maas en Waal";19581;255
"2022";"West Maas en Waal";19675;258
"2023";"West Maas en Waal";20065;263
"2020";"Westerbork";;
"2021";"Westerbork";;
"2022";"Westerbork";;
"2023";"Westerbork";;
"2020";"Westerhoven";;
"2021";"Westerhoven";;
"2022";"Westerhoven";;
"2023";"Westerhoven";;
"2020";"Wester-Koggenland";;
"2021";"Wester-Koggenland";;
"2022";"Wester-Koggenland";;
"2023";"Wester-Koggenland";;
"2020";"Westerkwartier";63329;175
"2021";"Westerkwartier";63678;176
"2022";"Westerkwartier";64306;177
"2023";"Westerkwartier";64946;179
"2020";"Westerschouwen";;
"2021";"Westerschouwen";;
"2022";"Westerschouwen";;
"2023";"Westerschouwen";;
"2020";"Westerveld";19460;70
"2021";"Westerveld";19661;71
"2022";"Westerveld";19854;71
"2023";"Westerveld";19860;71
"2020";"Westervoort";14971;2130
"2021";"Westervoort";15014;2136
"2022";"Westervoort";14944;2131
"2023";"Westervoort";15114;2155
"2020";"Westerwolde";25733;93
"2021";"Westerwolde";26215;95
"2022";"Westerwolde";26571;96
"2023";"Westerwolde";26537;96
"2020";"Westkapelle";;
"2021";"Westkapelle";;
"2022";"Westkapelle";;
"2023";"Westkapelle";;
"2020";"Westland";110375;1358
"2021";"Westland";111382;1370
"2022";"Westland";112448;1392
"2023";"Westland";114887;1423
"2020";"Weststellingwerf";25914;118
"2021";"Weststellingwerf";26130;119
"2022";"Weststellingwerf";26278;119
"2023";"Weststellingwerf";26467;120
"2020";"Westvoorne";14731;277
"2021";"Westvoorne";14900;280
"2022";"Westvoorne";14960;281
"2023";"Westvoorne";;
"2020";"Wierden";24446;258
"2021";"Wierden";24538;259
"2022";"Wierden";24643;260
"2023";"Wierden";24862;263
"2020";"Wieringen";;
"2021";"Wieringen";;
"2022";"Wieringen";;
"2023";"Wieringen";;
"2020";"Wieringermeer";;
"2021";"Wieringermeer";;
"2022";"Wieringermeer";;
"2023";"Wieringermeer";;
"2020";"Wijchen";41110;621
"2021";"Wijchen";41261;624
"2022";"Wijchen";41344;626
"2023";"Wijchen";41537;629
"2020";"Wijdemeren";24358;512
"2021";"Wijdemeren";24463;514
"2022";"Wijdemeren";24494;515
"2023";"Wijdemeren";24659;519
"2020";"Wijhe";;
"2021";"Wijhe";;
"2022";"Wijhe";;
"2023";"Wijhe";;
"2020";"De Wijk";;
"2021";"De Wijk";;
"2022";"De Wijk";;
"2023";"De Wijk";;
"2020";"Wijk bij Duurstede";23914;502
"2021";"Wijk bij Duurstede";23925;502
"2022";"Wijk bij Duurstede";23921;503
"2023";"Wijk bij Duurstede";23995;504
"2020";"Willemstad";;
"2021";"Willemstad";;
"2022";"Willemstad";;
"2023";"Willemstad";;
"2020";"Winschoten";;
"2021";"Winschoten";;
"2022";"Winschoten";;
"2023";"Winschoten";;
"2020";"Winsum";;
"2021";"Winsum";;
"2022";"Winsum";;
"2023";"Winsum";;
"2020";"Winterswijk";28854;209
"2021";"Winterswijk";29022;210
"2022";"Winterswijk";29185;211
"2023";"Winterswijk";29253;212
"2020";"Wisch";;
"2021";"Wisch";;
"2022";"Wisch";;
"2023";"Wisch";;
"2020";"Wittem";;
"2021";"Wittem";;
"2022";"Wittem";;
"2023";"Wittem";;
"2020";"Woensdrecht";21876;239
"2021";"Woensdrecht";22028;240
"2022";"Woensdrecht";22112;241
"2023";"Woensdrecht";22191;242
"2020";"Woerden";52299;590
"2021";"Woerden";52694;595
"2022";"Woerden";52882;597
"2023";"Woerden";53244;601
"2020";"Wognum";;
"2021";"Wognum";;
"2022";"Wognum";;
"2023";"Wognum";;
"2020";"De Wolden";24330;108
"2021";"De Wolden";24374;109
"2022";"De Wolden";24511;109
"2023";"De Wolden";24602;110
"2020";"Wormerland";16270;422
"2021";"Wormerland";16333;423
"2022";"Wormerland";16381;425
"2023";"Wormerland";16612;431
"2020";"Woudenberg";13362;366
"2021";"Woudenberg";13639;373
"2022";"Woudenberg";13873;380
"2023";"Woudenberg";14358;393
"2020";"Woudrichem";;
"2021";"Woudrichem";;
"2022";"Woudrichem";;
"2023";"Woudrichem";;
"2020";"Wouw";;
"2021";"Wouw";;
"2022";"Wouw";;
"2023";"Wouw";;
"2020";"Wûnseradiel";;
"2021";"Wûnseradiel";;
"2022";"Wûnseradiel";;
"2023";"Wûnseradiel";;
"2020";"Wymbritseradiel";;
"2021";"Wymbritseradiel";;
"2022";"Wymbritseradiel";;
"2023";"Wymbritseradiel";;
"2020";"Zaanstad";156794;2123
"2021";"Zaanstad";156901;2124
"2022";"Zaanstad";157166;2131
"2023";"Zaanstad";159618;2165
"2020";"Zaltbommel";28881;364
"2021";"Zaltbommel";29447;371
"2022";"Zaltbommel";29957;381
"2023";"Zaltbommel";30349;386
"2020";"Zandvoort";17116;533
"2021";"Zandvoort";17168;535
"2022";"Zandvoort";17107;533
"2023";"Zandvoort";17542;547
"2020";"Zederik";;
"2021";"Zederik";;
"2022";"Zederik";;
"2023";"Zederik";;
"2020";"Zeevang";;
"2021";"Zeevang";;
"2022";"Zeevang";;
"2023";"Zeevang";;
"2020";"Zeewolde";22653;92
"2021";"Zeewolde";22879;93
"2022";"Zeewolde";23348;94
"2023";"Zeewolde";23692;96
"2020";"Zeist";64905;1338
"2021";"Zeist";65043;1341
"2022";"Zeist";65987;1361
"2023";"Zeist";66629;1374
"2020";"Zelhem";;
"2021";"Zelhem";;
"2022";"Zelhem";;
"2023";"Zelhem";;
"2020";"Zevenaar";43750;472
"2021";"Zevenaar";44096;476
"2022";"Zevenaar";44645;482
"2023";"Zevenaar";45042;486
"2020";"Zevenbergen";;
"2021";"Zevenbergen";;
"2022";"Zevenbergen";;
"2023";"Zevenbergen";;
"2020";"Zevenhuizen-Moerkapelle";;
"2021";"Zevenhuizen-Moerkapelle";;
"2022";"Zevenhuizen-Moerkapelle";;
"2023";"Zevenhuizen-Moerkapelle";;
"2020";"Zierikzee";;
"2021";"Zierikzee";;
"2022";"Zierikzee";;
"2023";"Zierikzee";;
"2020";"Zijpe";;
"2021";"Zijpe";;
"2022";"Zijpe";;
"2023";"Zijpe";;
"2020";"Zoetermeer";125285;3637
"2021";"Zoetermeer";125267;3637
"2022";"Zoetermeer";125767;3653
"2023";"Zoetermeer";126998;3689
"2020";"Zoeterwoude";8605;406
"2021";"Zoeterwoude";8843;417
"2022";"Zoeterwoude";9302;440
"2023";"Zoeterwoude";9443;446
"2020";"Zuidhorn";;
"2021";"Zuidhorn";;
"2022";"Zuidhorn";;
"2023";"Zuidhorn";;
"2020";"Zuidlaren";;
"2021";"Zuidlaren";;
"2022";"Zuidlaren";;
"2023";"Zuidlaren";;
"2020";"Zuidplas";43885;756
"2021";"Zuidplas";45064;777
"2022";"Zuidplas";45794;790
"2023";"Zuidplas";46981;811
"2020";"Zuidwolde";;
"2021";"Zuidwolde";;
"2022";"Zuidwolde";;
"2023";"Zuidwolde";;
"2020";"Zundert";21829;181
"2021";"Zundert";21988;182
"2022";"Zundert";22260;185
"2023";"Zundert";22518;187
"2020";"Zutphen";47934;1170
"2021";"Zutphen";48111;1175
"2022";"Zutphen";48330;1181
"2023";"Zutphen";48510;1186
"2020";"Zwartewaterland";22685;275
"2021";"Zwartewaterland";22823;277
"2022";"Zwartewaterland";23012;279
"2023";"Zwartewaterland";23368;284
"2020";"Zwartsluis";;
"2021";"Zwartsluis";;
"2022";"Zwartsluis";;
"2023";"Zwartsluis";;
"2020";"Zweeloo";;
"2021";"Zweeloo";;
"2022";"Zweeloo";;
"2023";"Zweeloo";;
"2020";"Zwijndrecht";44737;2204
"2021";"Zwijndrecht";44775;2206
"2022";"Zwijndrecht";44789;2206
"2023";"Zwijndrecht";45018;2217
"2020";"Zwolle";128840;1160
"2021";"Zwolle";129840;1169
"2022";"Zwolle";130668;1181
"2023";"Zwolle";132411;1196
